"","bag_number","depth","act_depth","species","colony_number","site","sample_id","airbrush_volume","surface_area","Host_AFDW_mg.cm2","Sym_AFDW_mg.cm2","sym.cm2","chla.ug.cm2","chlc2.ug.cm2","prot_mg.cm2","D","cor_di","cal_di","cor_a","cal_a"
"205","61",55,54,"MCAV",3,"Turrumote","55MC3T","17.5","34.4178273",2.79651586258032,4.83034558082055,280499.015324247,0.883182081,0.460014148,0.905304747,1.827,0.5172,0.8254,0.2208,0.5628
"206","73",55,55,"MCAV",4,"Turrumote","55MC4T","20","19.16155989",3.36611426054416,3.54877162351942,354007.365420186,4.564398749,1.426893226,0.692149624,1.285,0.6817,1.0454,0.3874,0.93
"207","77",55,54,"MCAV",5,"Turrumote","55MC5T","22","27.81058496",1.93811097743986,2.76872996777124,76387.2821465457,2.499602823,0.872248823,0.55401708,0.921,0.5803,1.0231,0.2664,0.925
"208","2",15,15,"OFAV",2,"Turrumote","15OF2AT",NA,"MISSING",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"209","2",15,15,"OFAV",2,"Turrumote","15OF2BT",NA,"MISSING",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"210","1",15,15,"OFAV",1,"Turrumote","15OFA1AT","19.5","4.325905292",4.84580650407822,5.86004507469924,719358.097160579,4.281251264,0.963301256,1.525843599,13.514,0.3229,0.2373,0.0826,0.0444
"211","1",15,15,"OFAV",1,"Turrumote","15OFA1BT",NA,"MISSING",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"212","72",15,15,"OFAV",3,"Turrumote","15OFA3T","22","16.33147632",1.21238273944361,1.21238273944361,NA,1.063439275,0.265915948,0.288176171,7.884,0.4014,0.2459,0.117,0.0436
"213","259",15,15,"OFAV",4,"Turrumote","15OFA4T","15","9.896935933",1.21249648186441,4.84998592745765,909372.36139831,4.58312303,0.683848016,0.409230182,8.975,0.4073,0.2435,0.1282,0.0466
"214","264",15,15,"OFAV",5,"Turrumote","15OFA5T","17.5","9.47632312",2.58539094644126,6.83281892988047,1769761.65970478,6.282977066,0.818230067,1.121043331,7.136,0.4161,0.2543,0.1288,0.0498
"215","91/PAN 81",30,30,"OFAV",1,"Turrumote","30OFA1T","25.5","21.34261838",1.34414154295533,2.38958496525392,176729.721428398,1.383221214,0.256731035,0.443090094,6.761,0.4375,0.258,0.1408,0.0526
"216","97/ PAN 87",30,30,"OFAV",2,"Turrumote","30OFA2T","28","18.7632312",3.3576306409314,4.17838479760352,863035.431360031,6.855125252,1.835168987,1.037864956,5.247,0.4139,0.2478,0.13,0.0474
"217","108",30,30,"OFAV",3,"Turrumote","30OFA3T","37","26.41504178",3.43175682836266,5.74293999848445,1620162.74800683,6.70732203,1.384853952,1.184928954,7.566,0.3784,0.2366,0.11,0.0422
"218","117",30,30,"OFAV",4,"Turrumote","30OFA4T","17.5","8.922005571",4.26613721512549,5.88432719327653,1840486.783165,8.680461403,1.462157235,1.382143751,9.445,0.4323,0.2728,0.142,0.0558
"219","119",30,28,"OFAV",5,"Turrumote","30OFA5T","25.5","27.16155989",1.40824018042065,3.47365911170428,733849.605161613,3.417618976,0.723624217,0.522830665,9.804,0.4364,0.2794,0.1514,0.061
"220","24",45,46,"OFAV",1,"Turrumote","45OFA1T","19","14.30362117",1.29512658227091,4.51633885099601,904374.715951737,3.677296076,0.617875005,0.460379795,5.342,0.4601,0.3148,0.1768,0.0712
"221","29",45,47,"OFAV",2,"Turrumote","45OFA2T","20.5","19.01671309",NA,NA,901925.931478099,2.75608442,0.670515453,0.570106369,4.809,0.4737,0.2489,0.182,0.05
"222","48",45,45,"OFAV",3,"Turrumote","45OFA3T","30.5","23.56824513",3.55881396927748,3.75293109487444,1624113.28416118,5.696992539,1.206243818,1.033336083,5.487,0.4317,0.2774,0.1516,0.059
"223","52",45,44,"OFAV",4,"Turrumote","45OFA4T","20","15.16991643",2.57087770917931,9.49247154158515,2091859.46978879,7.063695252,1.714973192,0.980919366,6.481,0.3827,0.224,0.1334,0.0406
"224","53",45,45,"OFAV",5,"Turrumote","45OFA5T","22","24.97493036",3.19320209708084,5.10912335532935,679014.239005069,6.294094961,1.119492611,1.017370942,4.801,0.4641,0.2623,0.1748,0.0506
"225","54",45,45,"OFAV",6,"Turrumote","45OFA6T","35.5","31.41225627",3.75768932309172,3.50340959446145,1410781.60513492,5.407409114,1.29592251,0.655574212,5.293,0.4597,0.2803,0.1548,0.0608
"226","75",55,54,"OFAV",1,"Turrumote","55OFA1T","26.5","11.1086351",1.4313189565476,8.11080742043638,1222584.94205107,7.228757113,1.392255877,0.542484922,6.41,0.4554,0.2742,0.1636,0.0566
"227","85",55,55,"OFAV",2,"Turrumote","55OFA2T","23.5","5.571030641",0.843649999949803,5.90554999964862,625707.083155495,2.702913992,0.370256894,0.283653132,8.23,0.398,0.2548,0.136,0.0496
"228","103",55,55,"OFAV",3,"Turrumote","55OFA3T","30.5","19.69916435",NA,NA,1264436.03859521,7.033012587,1.547669711,0.605912386,4.733,0.4741,0.3028,0.175,0.0726
"229","105",55,53,"OFAV",4,"Turrumote","55OFA4T","17.5","20.26462396",1.53284364226614,2.50436426060383,817516.609237391,2.820180426,0.536171435,0.462760332,4.241,0.4994,0.3396,0.1832,0.0894
"230","106",55,53,"OFAV",5,"Turrumote","55OFA5T","20","11.00278552",1.72683544230352,5.27139240282128,1502649.78845102,5.291796327,0.76303405,0.848585946,8.815,0.4062,0.2806,0.1288,0.0628
"231","266",15,15,"OFRA",1,"Turrumote","15OFR1T",NA,"20.08635097",NA,NA,NA,NA,NA,NA,7.561,0.41,0.2786,0.1316,0.0602
"232","270",15,18,"OFRA",2,"Turrumote","15OFR2T","23.5","13.41504178",2.62764742578387,6.65670681198579,1343992.998112,5.422281845,1.103918478,0.745055356,8.902,0.3878,0.2216,0.1094,0.0396
"233","271",15,19,"OFRA",3,"Turrumote","15OFR3T","23.5","24.91364903",2.38172657600451,2.35814512475694,1720659.89301207,4.150932816,0.94309298,0.753181288,7.46,0.387,0.2649,0.117,0.0542
"234","273",15,22,"OFRA",4,"Turrumote","15OFR4T","33.5","22.8718663",1.46468152448058,4.68698087833786,568784.658624469,2.192445157,0.386675922,0.619004638,9.259,0.3713,0.2269,0.0964,0.0396
"235","274",15,27,"OFRA",5,"Turrumote","15OFR5T","20","15.64345404",2.26931980042433,5.62535612499553,728739.316192602,4.673094136,0.692941595,0.73474014,5.081,0.4717,0.2909,0.1736,0.065
"236","116",30,30,"OFRA",1,"Turrumote","30OFR1T","26.5","17.46796657",1.1377970023216,5.00630681021506,1615671.74329668,6.525986413,1.190552857,0.867755827,10.13,0.3469,0.1978,0.07360017142,0.0326
"237","118",30,30,"OFRA",2,"Turrumote","30OFR2T","25.5","24.64345404",1.47452950146594,4.34598168853119,1525405.0811012,2.769321617,0.372460978,0.35360844,6.369,0.4551,0.3106,0.1522,0.0702
"238","126",30,30,"OFRA",3,"Turrumote","30OFR3T","22","11.99721448",2.01713489746663,5.68465289286051,658115.729193832,5.303414397,1.520461273,0.686973711,6.936,0.4202,0.2626,0.14,0.0554
"239","127",30,30,"OFRA",4,"Turrumote","30OFR4T","20.5","10.56267409",3.93011273909333,7.56910601603159,811899.833278866,5.075991289,1.040509478,0.614039286,9.045,0.4205,0.2719,0.138,0.0584
"240","257",30,30,"OFRA",5,"Turrumote","30OFR5T","22.5","17.57103064",2.88116280924088,5.37817057724965,532837.270139209,1.662687044,0.332678266,0.211095032,4.95,0.5398,0.3435,0.2128,0.0858
"241","11",45,48,"OFRA",1,"Turrumote","45OFR1T","19.5","20.56545961",1.09042056074914,4.45650142219214,591039.550287493,3.739707935,0.681868422,0.431916409,8.047,0.426,0.2394,0.138,0.0444
"242","15",45,45,"OFRA",2,"Turrumote","45OFR2T","22","17.40111421",2.87625260060861,3.41357451500802,1147340.32309992,4.291990488,0.959751761,0.73066839,5.364,0.4804,0.296,0.1752,0.069
"243","21",45,46,"OFRA",3,"Turrumote","45OFR3T","17.5","20.65181058",1.14396749420505,3.22005665035496,781711.12104012,2.791520778,0.518429121,0.426666449,5.185,0.474,0.2999,0.1742,0.0724
"244","27",45,46,"OFRA",4,"Turrumote","45OFR4T","25","16.20612813",2.12111120708509,3.2395152980936,1221245.84655496,2.236473946,0.395760786,0.134512564,7.571,0.4083,0.2344,0.1244,0.0424
"245","31",45,45,"OFRA",5,"Turrumote","45OFR5T","17","8.43454039",1.66280548216095,3.0232826948381,830842.873869977,4.262543067,1.039706919,0.471385193,5.272,0.4284,0.2831,0.1456,0.0652
"246","35",45,46,"OFRA",6,"Turrumote","45OFR6T","24","17.40947075",2.06784000024814,2.75712000033085,1114336.00008777,4.00374032,0.98325792,0.608627279,6.711,0.448,0.2598,0.161,0.0558
"247","40",45,47,"OFRA",7,"Turrumote","45OFR7T","26.5","18.31476323",2.49593726252065,3.76199239568329,1011638.33978486,3.663348614,0.684465578,0.636467116,5.058,0.5119,0.2846,0.214,0.0666
"248","46",45,47,"OFRA",8,"Turrumote","45OFR8T","24.5","13.5821727",4.284108388638,3.96843724421204,1396844.81408486,6.915918848,1.036889518,0.726346299,7.067,0.4322,0.2645,0.1438,0.0558
"249","64",55,53,"OFRA",1,"Turrumote","55OFR1T","23.5","23.74651811",2.52352785879647,3.46366568854418,843649.999852547,3.390920462,1.007357685,0.777391789,6.941,0.3999,0.2564,0.1302,0.0538
"250","68",55,53,"OFRA",2,"Turrumote","55OFR2T","17","12.37047354",1.85522404827843,3.02332807867596,902417.62352939,3.359329767,0.78056834,0.415521117,5.711,0.4638,0.2477,0.1908,0.0512
"251","79",55,52,"OFRA",3,"Turrumote","55OFR3T","43.5","36.08635097",1.91363903924254,3.85741412634717,1667527.98130035,5.469863458,1.449875399,0.314428436,6.111,0.4702,0.273,0.1758,0.0598
